model,samples,snr_ref_db,dvr_mps,bearing_split_deg,realization,n_detections,matched_targets,ghost_count,merged,range_median_abs_m,xy_median_m
E0,256,10.0,10.0,1.0,12,2,2,0,False,0.0023004760016078762,0.021424985467464977
B64,64,10.0,10.0,1.0,12,2,1,1,True,0.12770545212143247,1.0590374568228258
E0,256,10.0,10.0,1.0,13,2,2,0,False,0.0025334305195769957,0.021729897223630848
B64,64,10.0,10.0,1.0,13,1,1,0,True,0.05267104250037846,0.42796758919304856
E0,256,10.0,10.0,1.0,14,3,2,1,False,0.0024172318653654656,0.01576750809545417
B64,64,10.0,10.0,1.0,14,2,2,0,False,0.05059030329465486,0.42624040259586343
E0,256,10.0,10.0,1.0,15,2,2,0,False,0.0023294884059623655,0.025459521582449775
B64,64,10.0,10.0,1.0,15,3,1,2,True,0.11014489504310632,0.9087162422193563
E0,256,10.0,10.0,1.0,16,2,2,0,False,0.0030436996817400086,0.01560606182701211
B64,64,10.0,10.0,1.0,16,4,1,3,True,0.1212509270578721,1.0084054358444439
E0,256,10.0,10.0,1.0,17,2,2,0,False,0.00226826826472859,0.01757477846695249
B64,64,10.0,10.0,1.0,17,1,1,0,True,0.12689755752151655,1.039094730855416
E0,256,10.0,10.0,1.0,18,2,2,0,False,0.0031393917874424915,0.023761461662868355
B64,64,10.0,10.0,1.0,18,1,1,0,True,0.128957643013365,1.0766444117676321
E0,256,10.0,10.0,1.0,19,3,2,1,False,0.002751567821960066,0.016956630747576966
B64,64,10.0,10.0,1.0,19,2,2,0,False,0.04362524940893309,0.34995901782637745
E0,256,10.0,10.0,1.0,20,2,2,0,False,0.0016491184862275077,0.02095979330893643
